Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",2.2,QX200 ddPCR EvaGreen Supermix,44,,,3.1,1.4,26,13985,,,,,,14011,,,,,,,,,,,,,,,,,,1,1,3000,5029.3,1930.7,1936.5,"Absolute Quantitation Experiment",,,,2.64,1.78,,,,,,,,,,,,,
"B01",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",4.4,QX200 ddPCR EvaGreen Supermix,88,,,5.8,3.3,49,12942,,,,,,12991,,,,,,,,,,,,,,,,,,1,1,3000,6586.3,1932.2,1949.7,"Absolute Quantitation Experiment",,,,5.1,3.8,,,,,,,,,,,,,
"C01",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",12.9,QX200 ddPCR EvaGreen Supermix,258,,,14.8,10.9,161,14653,,,,,,14814,,,,,,,,,,,,,,,,,,1,1,3000,7835.8,1899,1963.6,"Absolute Quantitation Experiment",,,,13.9,11.8,,,,,,,,,,,,,
"D01",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",53.6,QX200 ddPCR EvaGreen Supermix,1072,,,57.6,49.5,664,14256,,,,,,14920,,,,,,,,,,,,,,,,,,1,1,3000,9271.4,1877.6,2206.7,"Absolute Quantitation Experiment",,,,55.6,51.5,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",105,QX200 ddPCR EvaGreen Supermix,2100,,,111,99,1235,13224,,,,,,14459,,,,,,,,,,,,,,,,,,1,1,3000,9994.4,1865.2,2559.6,"Absolute Quantitation Experiment",,,,108,102.1,,,,,,,,,,,,,
"F01",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",143,QX200 ddPCR EvaGreen Supermix,2860,,,150,136,1672,12935,,,,,,14607,,,,,,,,,,,,,,,,,,1,1,3000,10227,1843.2,2802.9,"Absolute Quantitation Experiment",,,,146.5,139.5,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",162,QX200 ddPCR EvaGreen Supermix,3240,,,170,154,1670,11304,,,,,,12974,,,,,,,,,,,,,,,,,,1,1,3000,10417,1848.7,2951.6,"Absolute Quantitation Experiment",,,,166.1,158.1,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",172,QX200 ddPCR EvaGreen Supermix,3440,,,182,162,1163,7404,,,,,,8567,,,,,,,,,,,,,,,,,,1,1,3000,9881.4,1845.8,2936.7,"Absolute Quantitation Experiment",,,,177,167,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",0,QX200 ddPCR EvaGreen Supermix,0,,,0.22,0,0,16257,,,,,,16257,,,,,,,,,,,,,,,,,,1,1,3000,0,1807.5,1807.5,"Absolute Quantitation Experiment",,,,0.099,0,,,,,,,,,,,,,
"B02",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",0,QX200 ddPCR EvaGreen Supermix,0,,,0.19,0,0,18782,,,,,,18782,,,,,,,,,,,,,,,,,,1,1,3000,0,1799.6,1799.6,"Absolute Quantitation Experiment",,,,0.086,0,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",0.07,QX200 ddPCR EvaGreen Supermix,1.4,,,0.32,0,1,17344,,,,,,17345,,,,,,,,,,,,,,,,,,1,1,3000,10004,1806.4,1806.9,"Absolute Quantitation Experiment",,,,0.17,0.02,,,,,,,,,,,,,
"D02",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",0.52,QX200 ddPCR EvaGreen Supermix,10.4,,,0.97,0.23,8,18258,,,,,,18266,,,,,,,,,,,,,,,,,,1,1,3000,9703.2,1777.2,1780.7,"Absolute Quantitation Experiment",,,,0.72,0.35,,,,,,,,,,,,,
"E02",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",0.8,QX200 ddPCR EvaGreen Supermix,16,,,1.3,0.45,14,20616,,,,,,20630,,,,,,,,,,,,,,,,,,1,1,3000,9910.7,1757.6,1763.1,"Absolute Quantitation Experiment",,,,1.03,0.6,,,,,,,,,,,,,
"F02",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",1.9,QX200 ddPCR EvaGreen Supermix,38,,,2.7,1.4,34,20659,,,,,,20693,,,,,,,,,,,,,,,,,,1,1,3000,9695,1745.5,1758.6,"Absolute Quantitation Experiment",,,,2.28,1.62,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",2.1,QX200 ddPCR EvaGreen Supermix,42,,,2.9,1.5,37,20289,,,,,,20326,,,,,,,,,,,,,,,,,,1,1,3000,10043,1743.6,1758.7,"Absolute Quantitation Experiment",,,,2.51,1.81,,,,,,,,,,,,,
"H02",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",2.6,QX200 ddPCR EvaGreen Supermix,52,,,3.4,1.9,42,19228,,,,,,19270,,,,,,,,,,,,,,,,,,1,1,3000,10186,1734.3,1752.7,"Absolute Quantitation Experiment",,,,2.98,2.19,,,,,,,,,,,,,
